YEAR;CODIGO DEPARTAMENTO;DEPARTAMENTO;POBLACION 5-16;TASA MATRICULACION 5-16;COBERTURA NETA;COBERTURA NETA TRANSICION;COBERTURA NETA PRIMARIA;COBERTURA NETA SECUNDARIA;COBERTURA NETA MEDIA;TAMANO PROMEDIO DE GRUPO;SEDES CONECTADAS A INTERNET;DESERCION;DESERCION TRANSICION;DESERCION PRIMARIA;DESERCION SECUNDARIA;DESERCION MEDIA;APROBACION;APROBACION TRANSICION;APROBACION PRIMARIA;APROBACION SECUNDARIA;APROBACION MEDIA;REPROBACION;REPROBACION TRANSICION;REPROBACION PRIMARIA;REPROBACION SECUNDARIA;REPROBACION MEDIA
2015;5;Antioquia;1.262.800;8.992;8.979;6.107;8.902;7.417;4.261;3.039;6.129;382;286;297;555;28;8.934;9.694;9.159;8.389;9.156;684;2;544;1.056;564
2015;8;Atlantico;520.783;8.617;8.592;5.352;8.212;7.428;4.561;2.627;88;139;174;129;157;1;9.519;972;958;9.348;9.678;342;106;29;496;222
2015;11;Bogota, D.C.;1.455.309;822;8.177;5.917;7.894;7.489;5.061;2.756;9.887;363;348;272;485;32;9.629;9.651;9.725;9.502;9.657;9;0;3;12;23
2015;13;Bolivar;488.886;8.878;8.869;585;8.733;7.105;3.934;2.302;4.494;301;316;254;375;269;915;9.606;9.285;881;9.234;549;78;461;815;497
2015;15;Boyaca;284.611;8.362;8.357;6.302;8.065;7.422;4.861;2.517;2.296;222;18;139;319;232;9.327;9.791;9.564;8.972;9.339;451;29;297;709;429
2015;17;Caldas;194.108;789;7.886;5.247;7.453;6.924;4.355;2.544;3.069;367;366;27;507;31;8.813;9.555;9.065;8.279;9.057;82;8;665;1.214;634
2015;18;Caqueta;124.382;7.314;7.312;4.387;7.282;5.452;2.363;2.294;1.477;487;49;411;631;408;9.165;9.443;9.231;8.947;9.323;348;67;358;422;269
2015;19;Cauca;312.453;8.221;8.221;447;8.442;6.304;3.128;1.912;4.493;217;212;131;343;246;9.164;9.684;9.286;884;9.205;619;103;583;817;548
2015;20;Cesar;260.802;9.552;9.539;6.165;9.276;7.388;3.863;2.672;3.987;438;546;396;51;31;9.048;9.332;9.148;8.766;9.231;514;122;457;724;459
2015;23;Cordoba;409.982;8.954;895;5.258;8.747;7.218;3.897;2.109;3.912;226;283;178;29;205;9.451;9.654;9.555;9.251;9.432;323;62;267;459;363
2015;25;Cundinamarca;576.429;9.072;9.047;5.593;8.683;8.091;505;1.959;3.273;327;352;224;462;286;932;9.605;9.557;8.958;9.384;352;43;219;58;33
2015;27;Choco;145.625;8.048;8.048;5.199;822;473;2.035;1.879;2.015;478;427;436;631;302;8.835;9.539;8.749;8.628;9.407;687;34;815;741;291
2015;41;Huila;269.323;8.764;8.758;58;8.777;7.481;4.015;2.624;3.893;517;449;352;775;466;8.704;9.516;9.064;8.016;8.767;779;34;584;1.209;767
2015;44;La Guajira;258.207;7.412;7.408;4.717;7.158;4.462;198;237;219;229;196;196;325;191;9.583;9.764;9.611;9.422;9.679;188;4;193;252;13
2015;47;Magdalena;330.539;9.361;9.343;6.405;873;6.906;3.565;2.289;4.002;354;307;354;393;282;9.368;9.565;9.388;9.235;9.486;278;128;258;372;232
2015;50;Meta;217.437;9.219;9.214;5.932;9.032;7.635;4.226;2.752;529;33;339;268;435;257;9.208;9.651;9.423;8.771;9.346;462;1;309;794;397
2015;52;Nariño;396.138;7.353;7.351;3.988;7.143;5.646;2.995;2.161;3.027;123;85;75;19;151;9.642;9.912;9.747;9.471;952;235;3;177;339;328
2015;54;Norte de Santander;310.611;8.589;8.584;5.803;8.927;687;3.624;2.433;1.912;266;29;207;353;254;9.575;9.695;9.686;9.392;9.535;159;15;107;255;211
2015;63;Quindio;109.400;8.193;8.186;4.492;7.418;7.601;4.803;2.878;1.593;59;592;474;763;467;8.809;9.393;9.146;8.306;8.894;601;15;379;931;639
2015;66;Risaralda;183.900;8.812;8.794;5.405;8.332;766;4.322;2.565;5.542;505;5;367;72;383;8.903;9.363;9.249;8.316;91;592;138;384;964;518
2015;68;Santander;407.815;945;9.437;599;9.434;8.245;4.784;2.617;2.565;317;418;237;422;251;9.193;9.501;947;8.761;9.236;49;81;293;818;513
2015;70;Sucre;200.001;958;9.574;6.738;95;7.313;4.225;227;5.039;265;296;198;354;259;8.704;9.607;8.813;8.219;8.857;1.031;97;989;1.427;884
